timestamp,latitude,longitude,heartRate,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magnetoX,magnetoY,magnetoZ
1706816152528,0.0,0.0,0.0,3.2441432,1.553837,9.148245,-17.699999,7.02,-38.46,-0.3848451,-0.26267207,0.0
1706816153638,0.0,0.0,0.0,3.1651347,1.4077905,9.289502,-14.34,6.3599997,-34.2,-0.004886922,0.0012217305,-0.002443461
1706816154763,0.0,0.0,0.0,3.1148565,1.3742718,9.267955,-15.9,8.46,-37.32,0.018325957,-0.0061086523,0.009773844
1706816155883,0.0,0.0,0.0,-0.557849,-5.659893,9.081207,-17.34,9.24,-37.68,-0.27488935,0.056199603,0.27488935
1706816156999,0.0,0.0,0.0,7.3190746,-5.5737014,3.3782187,-33.239998,17.94,2.34,0.3640757,-0.8491027,0.0036651916
1706816158096,0.0,0.0,0.0,5.142745,-5.7843914,6.38773,-33.059998,13.139999,-11.7,-1.0458013,0.27488935,0.31031954
1706816159186,0.0,0.0,0.0,4.050989,-6.0764837,6.447585,-28.68,22.32,-9.54,-0.04886922,0.0061086523,-0.008552114
1706816160304,0.0,0.0,0.0,-1.5921441,8.190564,5.422867,-22.5,3.8999999,-27.84,0.60231316,0.1563815,-0.689056
1706816161425,0.0,0.0,0.0,-1.0223241,7.393295,6.5337763,-11.58,-28.68,-38.82,-0.2321288,-0.073303826,-0.16737708
1706816162482,0.0,0.0,0.0,-1.0893618,7.055712,6.6391215,-12.059999,-25.92,-39.899998,0.19181168,0.24801129,-0.03176499
1706816163669,0.0,0.0,0.0,0.074220255,5.4300494,8.4347725,-15.839999,-19.619999,-40.92,-0.25534168,0.14905111,1.3939945
1706816164790,0.0,0.0,0.0,2.4708161,-10.067618,4.525041,4.98,23.4,-30.0,-3.167947,1.4294246,-1.740966
1706816165912,0.0,0.0,0.0,-0.60094464,2.7461493,7.5680714,-25.98,12.12,-21.84,-0.0720821,-0.8210029,-0.204029
1706816167026,0.0,0.0,0.0,-0.011971008,2.5617957,9.572019,-21.0,3.4199998,-38.94,0.02565634,-0.007330383,0.09773844
1706816168106,0.0,0.0,0.0,0.21547815,2.6312277,9.507375,-20.699999,7.56,-36.899998,0.034208454,0.04520403,0.21991149
1706816169291,0.0,0.0,0.0,-0.6607997,5.3701944,8.726865,-22.98,6.0,-33.0,-0.06963864,-0.002443461,0.010995574
1706816170412,0.0,0.0,0.0,3.086126,4.197036,8.477868,-26.039999,-4.2,-37.44,-0.012217305,0.042760566,0.059864793
1706816171498,0.0,0.0,0.0,3.1148565,3.8235402,8.614338,-23.46,-3.6,-35.16,0.010995574,0.056199603,0.13439035
1706816172653,0.0,0.0,0.0,3.0478187,3.655946,8.765172,-22.38,-1.38,-39.42,-0.021991149,-0.008552114,-0.002443461
1706816173772,0.0,0.0,0.0,3.0909145,3.6894648,8.719683,-22.56,-1.56,-38.879997,0.010995574,0.012217305,0.0012217305
1706816174894,0.0,0.0,0.0,2.7748797,3.9121256,8.789114,-22.199999,-1.68,-38.16,0.029321533,0.02076942,-0.04642576
1706816176013,0.0,0.0,0.0,2.0590134,3.5889084,9.006987,-20.82,-0.9,-40.92,-0.0036651916,-0.009773844,0.008552114
1706816177134,0.0,0.0,0.0,1.7070658,3.4117374,9.248801,-20.1,-1.02,-40.62,-0.02687807,0.039095376,-0.009773844
1706816178249,0.0,0.0,74.0,1.7621324,3.4021606,9.148245,-20.279999,-0.78,-41.82,0.0,0.0012217305,0.012217305
1706816179376,0.0,0.0,73.0,1.7741034,3.4093432,9.174581,-19.14,0.9,-39.66,-0.0036651916,0.004886922,0.002443461
1706816180494,0.0,0.0,72.0,1.3503298,2.8921957,9.409213,-29.22,3.06,-41.879997,0.103847094,-0.02565634,-0.034208454
1706816181613,0.0,0.0,72.0,1.2258313,2.9400797,9.334992,-39.3,14.16,-49.62,-0.002443461,0.0012217305,0.009773844
1706816182733,0.0,0.0,71.0,1.151611,2.9257145,9.397242,-40.559998,14.04,-50.1,0.013439035,0.0036651916,0.0061086523
1706816183852,0.0,0.0,70.0,1.1707647,2.9616275,9.414001,-40.02,13.5,-48.84,-0.008552114,0.008552114,0.018325957
1706816184975,0.0,0.0,69.0,6.0166287,-5.094861,1.7286136,-41.94,17.039999,-34.2,-1.0103711,-0.7965683,-1.1081096
1706816186116,0.0,0.0,68.0,-0.6655881,-8.851364,4.7189717,-27.06,33.12,9.66,-0.3640757,0.12095132,0.43493605
1706816187214,0.0,0.0,69.0,7.2472486,-7.4268136,3.359065,-24.66,36.3,17.4,0.35796702,0.1160644,-0.40317106
1706816188332,0.0,0.0,70.0,5.9878983,0.22984336,7.7572136,-38.879997,19.26,-18.06,-0.40561453,-0.906524,0.408058
1706816189454,0.0,0.0,69.0,6.6415157,-6.3302693,2.9592333,-35.1,28.859999,7.62,-0.18692477,0.2687807,-0.21624629
1706816190572,0.0,0.0,69.0,7.6470804,-6.0956373,-0.06703765,-36.96,18.48,27.599998,-0.06841691,0.034208454,-0.10262536
1706816200926,0.0,0.0,69.0,7.065289,-5.861006,1.1492168,-37.44,14.219999,31.8,0.22113322,0.06719518,0.0012217305
1706816202050,0.0,0.0,69.0,0.9672575,8.535329,5.17387,-27.84,-20.52,-34.14,0.3933972,0.43249258,0.057421334
1706816203089,0.0,0.0,69.0,-1.0390835,8.429984,5.410896,-20.1,-34.14,-29.099998,-0.5448918,-0.030543262,-0.035430185
1706816204108,0.0,0.0,69.0,-0.7038953,8.331821,5.470751,-18.0,-33.6,-34.92,-0.014660766,0.0,0.05009095
1706816205127,0.0,0.0,69.0,-0.7781156,9.433155,4.8362875,-21.48,-31.14,-33.059998,0.61086524,0.21746802,-0.073303826
1706816206267,0.0,0.0,69.0,-0.2873042,8.734048,5.0613422,-22.859999,-29.82,-28.199999,-0.017104227,-0.014660766,-0.02687807
1706816207392,0.0,0.0,69.0,-0.19632454,8.566454,5.0876784,-22.619999,-29.039999,-29.22,0.07819075,-0.12339478,-0.040317107
1706816208671,0.0,0.0,69.0,-0.06943185,8.674192,5.159505,-20.82,-29.039999,-29.82,0.013439035,0.042760566,-0.04153884
1706816209792,0.0,0.0,69.0,-0.10295067,8.365341,5.2983685,-22.26,-29.58,-29.82,-0.013439035,-0.009773844,-0.012217305
1706816210911,0.0,0.0,69.0,-0.095768064,8.425196,5.2624555,-20.58,-29.279999,-28.74,-0.021991149,0.004886922,0.004886922
1706816212032,0.0,0.0,69.0,-0.04070143,8.408437,5.3845596,-22.08,-28.08,-30.06,0.019547688,-0.014660766,0.02687807
1706816213151,0.0,0.0,69.0,-0.05267244,8.439561,5.4324436,-23.1,-27.539999,-31.38,0.002443461,0.008552114,0.004886922
1706816214272,0.0,0.0,69.0,-0.1436521,8.384495,5.4180784,-22.08,-28.019999,-30.72,0.007330383,0.002443461,0.0012217305
1706816215391,0.0,0.0,69.0,-0.1364695,8.327033,5.547365,-23.34,-26.76,-32.28,-0.0036651916,-0.015882496,-0.012217305
