timestamp,latitude,longitude,heartRate,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magnetoX,magnetoY,magnetoZ
1706849519743,52.37137191463262,4.9482200760394335,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1706849520765,52.371354144997895,4.9482224229723215,64.0,-1.6903064,3.0142999,9.239224,-21.24,1.26,-40.379997,0.0012217305,0.0012217305,0.004886922
1706849521775,52.371388426981866,4.948260309174657,65.0,-1.6304513,3.122039,9.186552,-20.88,3.0,-40.44,-0.004886922,-0.0061086523,0.002443461
1706849522939,52.371389348991215,4.948284700512886,0.0,-1.541866,2.9783869,9.31105,-23.039999,2.82,-42.6,-0.012217305,-0.010995574,-0.002443461
1706849524057,52.37138754688203,4.948283610865474,63.0,1.8531121,-6.4404025,11.760319,-22.56,6.0,-41.34,-1.6481144,-1.7837266,-2.6511552
1706849525174,52.37139022909105,4.948276486247778,63.0,5.427655,-2.1092918,9.153033,-47.52,14.7,-2.1599998,-0.089186326,0.09040806,0.052534413
1706849526293,52.37138775642961,4.9482951778918505,62.0,5.4061074,-4.793192,7.6734166,-22.199999,12.059999,-19.8,-0.25411993,-0.37384954,-0.061086524
1706849527413,52.37139018718153,4.948298279196024,64.0,3.9097314,-4.6686935,7.8865004,-21.359999,20.4,-21.48,-0.25534168,0.36285394,0.4202753
1706849528534,52.37139043863863,4.948292663320899,65.0,3.5242648,-2.2720973,5.7029886,-11.58,21.84,-25.74,0.009773844,0.035430185,0.02443461
1706849529651,52.371381470002234,4.948299704119563,66.0,3.6104562,-3.8905778,6.6606693,-9.36,21.0,-26.76,-0.19425514,-0.28344148,-0.7257079
1706849530762,52.37136906478554,4.9483043141663074,66.0,4.6782703,-5.2959743,7.6734166,-5.22,17.16,-24.06,0.06719518,0.35308012,0.02443461
1706849531889,52.371375602670014,4.948292830958962,67.0,3.8283286,-4.0342298,7.129933,-0.71999997,12.84,-25.08,0.19547687,-0.38606682,-0.31764993
1706849533009,52.371371956542134,4.948320658877492,68.0,3.442862,-9.28232,7.515399,-4.2599998,12.48,-22.859999,-0.31764993,0.18203785,0.80756384
1706849534127,52.37138528376818,4.948321161791682,69.0,-3.3135753,-7.07726,7.2951326,-10.74,26.88,-26.46,-0.3726278,0.13561209,-0.21868975
1706849535244,52.371390983462334,4.948323089629412,68.0,-0.7398083,-2.8514943,7.3525934,-15.96,20.52,-29.699999,0.09162979,-0.05131268,-0.105068825
1706849536366,52.371405023150146,4.9483278673142195,67.0,-4.606444,-3.7732618,7.704541,-13.2,16.56,-30.48,0.059864793,0.019547688,0.4972443
1706849537486,52.37140774726868,4.948324263095856,66.0,-3.5362358,-2.896984,8.487445,-15.059999,15.36,-32.7,0.1160644,-0.030543262,0.036651913
1706849538605,52.37140640616417,4.948329208418727,65.0,-3.4380736,-3.6128504,8.573636,-24.359999,10.08,-31.859999,-0.058643065,-0.032986723,0.013439035
1706849539725,52.37141365651041,4.948328118771315,65.0,-3.1651347,-3.5051112,8.243237,-22.68,11.759999,-32.34,0.014660766,-0.07696902,0.02321288
1706849540843,52.371408878825605,4.948329459875822,64.0,-3.25372,-3.478775,8.762778,-23.4,11.099999,-31.98,0.040317107,-0.0061086523,0.07574729
1706849541962,52.371408878825605,4.948329459875822,66.0,-3.2130187,-3.1555579,8.760384,-24.119999,8.4,-32.28,-0.02687807,-0.035430185,0.009773844
1706849543081,52.371408878825605,4.948329459875822,66.0,-3.6583402,-2.0518308,8.813056,-20.1,7.02,-32.52,-0.002443461,-0.012217305,0.0061086523
1706849544198,52.371408878825605,4.948329459875822,66.0,-3.5362358,-2.0015526,8.925584,-21.06,4.56,-33.3,-0.0061086523,-0.010995574,-0.002443461
1706849545318,52.371408878825605,4.948329459875822,67.0,-3.58412,-2.1571758,8.860941,-21.06,4.8599997,-34.32,0.014660766,0.009773844,-0.009773844
1706849546435,52.371395635418594,4.948356198146939,68.0,-3.6032736,-2.1164744,8.8777,-21.06,5.2799997,-33.78,0.0,-0.012217305,0.028099801
1706849547558,52.371386708691716,4.948357958346605,70.0,-3.5003228,-2.1428106,8.817844,-20.039999,5.1,-34.2,0.008552114,-0.013439035,0.0012217305
1706849548676,52.37138675060123,4.948357036337256,70.0,-3.040636,-2.4492683,9.397242,-28.859999,3.0,-34.559998,-0.11484267,0.05497787,-0.312763
1706849549747,52.3713692324236,4.948350079357624,70.0,-3.5194764,-2.6431987,8.858546,-27.0,6.24,-33.059998,-0.02687807,-0.010995574,0.02687807
1706849550913,52.3713692324236,4.948350079357624,71.0,-3.478775,-2.7724855,8.90643,-26.82,8.46,-33.54,0.010995574,-0.02687807,0.0036651916
1706849552033,52.3713692324236,4.948350079357624,70.0,-3.4596214,-2.6001031,8.789114,-26.4,7.3199997,-33.42,0.0036651916,0.0036651916,0.036651913
1706849553151,52.3713692324236,4.948350079357624,71.0,-3.5793316,-2.6647465,8.784326,-21.24,9.96,-32.94,0.004886922,0.0036651916,-0.0012217305
1706849554267,52.3713692324236,4.948350079357624,71.0,-3.430891,-3.265691,8.767567,-22.619999,10.08,-32.88,-0.028099801,-0.008552114,-0.007330383
1706849555388,52.3713692324236,4.948350079357624,72.0,-3.5362358,-2.9783869,8.585608,-22.199999,10.26,-32.94,-0.0036651916,0.02321288,-0.002443461
1706849556508,52.3713692324236,4.948350079357624,73.0,-3.691859,-2.6312277,8.755595,-23.039999,10.44,-31.98,0.034208454,0.007330383,0.096516706
1706849557626,52.3713692324236,4.948350079357624,72.0,-3.5984852,-2.8634653,8.556877,-23.34,9.66,-34.2,0.007330383,-0.008552114,0.02687807
1706849558737,52.3713692324236,4.948350079357624,69.0,-3.655946,-2.944868,8.59279,-23.82,10.2,-32.82,0.010995574,-0.02076942,0.018325957
1706849559864,52.3713692324236,4.948350079357624,69.0,-3.5625722,-2.8275523,8.710106,-22.56,10.5,-31.8,-0.028099801,-0.013439035,-0.0012217305
1706849560983,52.3713692324236,4.948350079357624,70.0,-3.5625722,-2.9352913,8.494628,-23.22,10.86,-32.04,-0.008552114,0.0,0.015882496
1706849562102,52.3713692324236,4.948350079357624,71.0,-3.596091,-2.789245,8.552089,-22.199999,11.219999,-32.46,0.056199603,0.040317107,0.002443461
