timestamp,latitude,longitude,heartRate,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magnetoX,magnetoY,magnetoZ
1706816392363,0.0,0.0,0.0,3.016694,5.4420204,7.764396,0.0,0.0,0.0,0.0,0.0,0.0
1706816393481,0.0,0.0,65.0,3.0190883,5.2480903,7.843405,-20.16,-30.66,-22.38,-0.007330383,0.008552114,0.0012217305
1706816394603,0.0,0.0,0.0,3.052607,5.2840033,7.8505874,-22.439999,-30.0,-26.88,0.009773844,-0.0012217305,0.002443461
1706816395722,0.0,0.0,0.0,3.3399115,3.833117,7.831434,-23.039999,-27.66,-27.72,0.12461651,-0.2883284,0.061086524
1706816396844,0.0,0.0,0.0,3.2154129,5.0038815,7.9942393,-23.34,-27.3,-28.92,0.042760566,0.013439035,0.015882496
1706816397960,0.0,0.0,0.0,3.0430303,4.642357,8.329428,-21.6,-25.439999,-29.76,-0.002443461,-0.0036651916,-0.0012217305
1706816399083,0.0,0.0,0.0,3.0358477,4.6830587,8.365341,-22.38,-26.279999,-30.72,0.002443461,-0.0012217305,0.0012217305
1706816400199,0.0,0.0,0.0,2.042254,2.3175871,9.648633,-22.38,-24.3,-31.439999,-0.3933972,0.37995818,0.1881465
1706816401321,0.0,0.0,0.0,1.9177556,3.7780502,9.301474,-18.359999,-21.18,-33.0,-0.029321533,-0.07574729,0.0061086523
1706816402365,0.0,0.0,0.0,2.042254,3.7349546,8.987833,-19.32,-22.92,-33.12,-0.034208454,0.012217305,0.002443461
1706816403403,0.0,0.0,0.0,2.1045034,3.5984852,9.02614,-10.44,-27.599998,-25.26,0.012217305,0.0,-0.002443461
1706816404523,0.0,0.0,0.0,1.0319009,1.2569559,9.92636,-17.82,-22.02,-33.48,-0.8136725,0.33841935,0.007330383
1706816405639,52.37114983610809,4.947625631466508,0.0,0.9983821,1.1707647,9.876082,-17.1,-15.12,-35.76,0.004886922,0.004886922,-0.0012217305
1706816406764,52.37130888272077,4.947608867660165,0.0,0.94810385,1.1468226,9.730036,-14.5199995,-15.179999,-35.579998,-0.009773844,0.0061086523,0.0012217305
1706816407885,52.37125431653112,4.947561426088214,68.0,0.8858546,1.352724,9.7084875,-15.9,-15.48,-36.54,0.0012217305,0.0036651916,0.002443461
